Latitude;Longitude
-23.4859657;-46.5401692
-23.4853292;-46.5397657
-23.4850814;-46.5394215
-23.4848673;-46.5392501
-23.4847572;-46.5388634
-23.4845133;-46.5386985
-23.4844109;-46.5386206
-23.4843547;-46.5381334
-23.4840318;-46.5377368
-23.4837735;-46.5373718
-23.4835369;-46.53699709999999
-23.4832878;-46.53683900000001
-23.4831866;-46.53662669999999
-23.4830572;-46.53630919999999
-23.4828581;-46.535923
-23.4826153;-46.53561760000001
-23.4824166;-46.5355283
-23.4823563;-46.534347
-23.48161;-46.5329187
-23.480695;-46.532164
-23.4801999;-46.5316857
-23.4798938;-46.5305845
-23.4792036;-46.5300338
-23.4788535;-46.52944430000001
-23.47848;-46.5290143
-23.4782146;-46.5288328
-23.4780995;-46.5286732
-23.4779976;-46.5278022
-23.4774468;-46.5276591
-23.47734850000001;-46.5274807
-23.4772371;-46.5266295
-23.4766942;-46.52639260000001
-23.4765471;-46.5253693
-23.4758884;-46.5250609
-23.4756882;-46.5244899
-23.475325;-46.52398999999999
-23.4750068;-46.5237307
-23.4748333;-46.5232383
-23.4745254;-46.522736
-23.4741963;-46.5221746
-23.4738354;-46.52207179999999
-23.4737709;-46.5217481
-23.4735679;-46.52121389999999
-23.4732328;-46.5203972
-23.4727378;-46.5197619
-23.4723883;-46.5191743
-23.4720702;-46.5182025
-23.4716027;-46.51699009999999
-23.4710707;-46.516752
-23.4709663;-46.5162193
-23.4707775;-46.5157778
-23.4706176;-46.5157188
-23.4705975;-46.51451480000001
-23.470188;-46.51424610000001
-23.4701018;-46.5138551
-23.4699764;-46.5130342
-23.469722;-46.5124951
-23.4695424;-46.5116763
-23.4692989;-46.51140450000001
-23.4692056;-46.511195
-23.4691411;-46.508962
-23.4684499;-46.5084939
-23.4683003;-46.50784829999999
-23.4680978;-46.5074638
-23.4679782;-46.5070769
-23.4678592;-46.5068786
-23.4677944;-46.5062074
-23.4675606;-46.5059647
-23.467471;-46.5058125
-23.467419;-46.5056798
-23.4673708;-46.5053151
-23.4672447;-46.5050233
-23.467137;-46.5049803
-23.4671213;-46.5047983
-23.4670545;-46.5040932
-23.4667961;-46.50304869999999
-23.4664173;-46.5023467
-23.4661596;-46.50165869999999
-23.4659165;-46.5009241
-23.4656528;-46.500108
-23.4653627;-46.4998363
-23.4652615;-46.499418
-23.4651007;-46.4988708
-23.4649067;-46.49797120000001
-23.4645775;-46.49663429999999
-23.4640745;-46.4964178
-23.463996;-46.49528780000001
-23.4635879;-46.49505800000001
-23.4635069;-46.49483120000001
-23.46342140000001;-46.4942445
-23.4632091;-46.4940248
-23.46313;-46.4937933
-23.4630466;-46.49329520000001
-23.4628659;-46.4923079
-23.4625074;-46.49184099999999
-23.4623407;-46.4915438
-23.4622357;-46.4913736
-23.4621745;-46.49119259999999
-23.4621099;-46.4899685
-23.4616637;-46.4895135
-23.4614991;-46.4886385
-23.461173;-46.48773309999999
-23.4608288;-46.4875221
-23.4607479;-46.4871602
-23.4606093;-46.4869087
-23.4605129;-46.4853558
-23.4599056;-46.4844661
-23.4595474;-46.48374860000001
-23.4592591;-46.483428
-23.4591183;-46.4823903
-23.45870100000001;-46.4809265
-23.4580798;-46.4796311
-23.4575379;-46.479247
-23.4573779;-46.4783519
-23.4570258;-46.47731520000001
-23.4565337;-46.4767834
-23.4563292;-46.4762863
-23.4561068;-46.4762848
-23.4561062;-46.4761027
-23.4560395;-46.4758258
-23.455938;-46.47494870000001
-23.4555504;-46.4741531
-23.4551949;-46.4736536
-23.4550155;-46.4734075
-23.4548901;-46.4729715
-23.4547127;-46.4727342
-23.4546138;-46.47255569999999
-23.4545394;-46.4724613
-23.4545001;-46.4720706
-23.4543347;-46.471273
-23.4540389;-46.4705749
-23.45375780000001;-46.4703718
-23.4536665;-46.4697202
-23.4533925;-46.4693637
-23.4532426;-46.469259
-23.4531985;-46.4690062
-23.4530949;-46.46882709999999
-23.4530216;-46.4686714
-23.4529578;-46.466868
-23.4521946;-46.4659676
-23.4518135;-46.4647206
-23.4513129;-46.46439339999999
-23.4511724;-46.4635114
-23.4507777;-46.4633067
-23.4506912;-46.4625366
-23.4503754;-46.4594938
-23.4491277;-46.4589626
-23.4489247;-46.4582919
-23.4486185;-46.4570187
-23.4481098;-46.456268
-23.447817;-46.45561459999999
-23.4475344;-46.4550007
-23.4472392;-46.4534501
-23.4465849;-46.4527939
-23.4463155;-46.4523244
-23.4461079;-46.4518982
-23.4459195;-46.45123829999999
-23.4456348;-46.44929749999999
-23.4448284;-46.4489074
-23.4446641;-46.4482769
-23.44442;-46.4465753
-23.4437094;-46.4457368
-23.4433536;-46.44423269999999
-23.4427012;-46.4440363
-23.4425849;-46.4438386
-23.4425028;-46.44364079999999
-23.4424208;-46.4428182
-23.442098;-46.4422813
-23.4418853;-46.4421549
-23.4418105;-46.44193370000001
-23.4417193;-46.441053
-23.4413483;-46.4409289
-23.441298;-46.4397662
-23.4408059;-46.4390993
-23.4405303;-46.43734359999999
-23.4397909;-46.4371501
-23.439709;-46.4366249
-23.4394867;-46.43600360000001
-23.4392289;-46.4357103
-23.4391106;-46.43558139999999
-23.4390589;-46.4342935
-23.438531;-46.4341236
-23.43846;-46.4330532
-23.4380125;-46.4328748
-23.437938;-46.4326165
-23.43783;-46.43123719999999
-23.4372521;-46.4307326
-23.4370461;-46.4298934
-23.4366926;-46.4289656
-23.436304;-46.4281144
-23.43594;-46.4277258
-23.4357738;-46.4264712
-23.4352363;-46.4254158
-23.4347996;-46.4249549
-23.4346257;-46.42436010000001
-23.4343643;-46.4238392
-23.4341558;-46.4233626
-23.4339551;-46.4232093
-23.4338904;-46.42303130000001
-23.4338152;-46.4223712
-23.4335365;-46.4211837
-23.4330311;-46.4203661
-23.4326754;-46.41999229999999
-23.4325047;-46.41936220000001
-23.4322489;-46.4184912
-23.43182910000001;-46.41806
-23.4316545;-46.41694059999999
-23.4312013;-46.4164459
-23.431001;-46.4163017
-23.4309426;-46.4146552
-23.4302691;-46.414436
-23.4301794;-46.4133765
-23.4297392;-46.4128718
-23.4295226;-46.4124589
-23.4293388;-46.4123719
-23.4292961;-46.41222929999999
-23.4292289;-46.4120057
-23.4291374;-46.4111869
-23.4288232;-46.4111403
-23.4288053;-46.4106726
-23.4286089;-46.41050550000001
-23.4285416;-46.410341
-23.428461;-46.4092993
-23.4280171;-46.40925670000001
-23.4279979;-46.4090808
-23.42791860000001;-46.4089048
-23.4278392;-46.4085788
-23.4276922;-46.4082624
-23.4275519;-46.4076122
-23.4272649;-46.4072755
-23.427122;-46.40713780000001
-23.4270607;-46.4070989
-23.4270438;-46.4070603
-23.4270267;-46.4069978
-23.427;-46.40699119999999
-23.4269972;-46.4069313
-23.4269701;-46.406918
-23.4269641;-46.40684650000001
-23.4269378;-46.406774
-23.4269082;-46.4065814
-23.4268202;-46.40639910000001
-23.4267354;-46.40621210000001
-23.4266557;-46.4057405
-23.4264726;-46.4054636
-23.42635320000001;-46.4053749
-23.4263152;-46.40527479999999
-23.4262723;-46.4051959
-23.426242;-46.404861
-23.4261136;-46.4044285
-23.4259291;-46.40399949999999
-23.4257672;-46.4037935
-23.4256793;-46.4037598
-23.4256648;-46.4036239
-23.4256064;-46.40345290000001
-23.4255375;-46.4032791
-23.4254743;-46.4031032
-23.4254118;-46.4029296
-23.4253471;-46.4027815
-23.4252901;-46.40263539999999
-23.4252303;-46.4023443
-23.4251192;-46.4021876
-23.4250654;-46.40208310000001
-23.4250288;-46.40202900000001
-23.4250094;-46.401896
-23.4249561;-46.4017767
-23.4249111;-46.4003473
-23.4243967;-46.3998957
-23.4242274;-46.3993226
-23.4240324;-46.3991676
-23.4239803;-46.3985729
-23.4237659;-46.3981744
-23.4236356;-46.3978922
-23.4235464;-46.3977522
-23.4235003;-46.3976394
-23.4234609;-46.3976125
-23.4234615;-46.3974825
-23.4234274;-46.3971938
-23.4233365;-46.3970222
-23.4232809;-46.39696419999999
-23.4232622;-46.39677929999999
-23.4232024;-46.3962862
-23.4230223;-46.39607330000001
-23.4229593;-46.3959685
-23.422921;-46.3957949
-23.4228659;-46.3955145
-23.4227799;-46.3946247
-23.4225217;-46.39373619999999
-23.4222658;-46.39317950000001
-23.4221248;-46.3929801
-23.4220795;-46.392782
-23.4220309;-46.3925856
-23.4219756;-46.3920934
-23.4218516;-46.3916026
-23.4217205;-46.39141340000001
-23.421669;-46.3913158
-23.4216505;-46.3910402
-23.4215822;-46.3907694
-23.4215048;-46.3901088
-23.4213215;-46.3897191
-23.4212087;-46.3896607
-23.4211852;-46.3893994
-23.42111690000001;-46.3887027
-23.4209224;-46.3886906
-23.4209189;-46.38868130000001
-23.4209163;-46.38835280000001
-23.4208248;-46.38800560000001
-23.4207276;-46.3876538
-23.4206316;-46.386803
